speed_ticks,speed,omega_x,omega_y,omega_z,m_omega_x_old,m_lean_angle_meas,m_lean_angle,bias,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,sil_command
0,0.00,0.00,-0.02,-0.02,0.00,0.00,0.00,0.00,2589,6309,-0.73,-0.23,-21.31,
0,0.00,-0.00,-0.02,-0.01,-0.00,0.00,0.00,0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.00,-0.02,-0.01,-0.00,0.00,0.00,0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.02,-0.01,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.02,-0.02,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.01,-0.02,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.00,-0.01,-0.02,-0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.00,-0.01,-0.01,-0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.02,-0.02,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.02,-0.02,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.00,-0.02,-0.02,-0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,-0.01,-0.02,-0.02,-0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,0.00,-0.02,-0.02,0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,0.00,-0.02,-0.02,0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,0.00,-0.02,-0.02,0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,0.01,-0.01,-0.02,0.01,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
0,0.00,0.00,-0.01,-0.02,0.00,0.00,-0.00,-0.00,2589,6309,-0.73,-0.23,0.00,
